ID,Taxonomy,End Node,Data Source Status,MFR HTML1,MFR HTML2,PT MFR Sourced PDF1,PT MFR Sourced PDF_Page No,PT MFR Sourced PDF2,PT MFR Sourced PDF_Page No,Sherwin Automotive: http://pbe.sherwin-automotive.com/ (automotive SKUs),Distributor Source: Grainger- https://www.grainger.com/,Distributor Source: Home Depot- http://www.homedepot.com/,Distributor Source: Lowes- http://www.lowes.com/,MPN Number,Brand,Manufacturer,UPC,Product Name,Att 1,Val 1,UOM 1,Att 2,Val 2,UOM 2,Att 3,Val 3,UOM 3,Att 4,Val 4,UOM 4,Att 5,Val 5,UOM 5,Att 6,Val 6,UOM 6,Att 7,Val 7,UOM 7,Att 8,Val 8,UOM 8,Att 9,Val 9,UOM 9,Att 10,Val 10,UOM 10,Att 11,Val 11,UOM 11,Att 12,Val 12,UOM 12,Att 13,Val 13,UOM 13,Att 14,Val 14,UOM 14,Att 15,Val 15,UOM 15,Att 16,Val 16,UOM 16,Att 17,Val 17,UOM 17,Att 18,Val 18,UOM 18,Att 19,Val 19,UOM 19,Att 20,Val 20,UOM 20,Att 21,Val 21,UOM 21,Att 22,Val 22,UOM 22,Att 23,Val 23,UOM 23,Att 24,Val 24,UOM 24,Att 25,Val 25,UOM 25,Att 26,Val 26,UOM 26,Att 27,Val 27,UOM 27,Att 28,Val 28,UOM 28,Att 29,Val 29,UOM 29,Att 30,Val 30,UOM 30,Allotted To,Overall Status
008847121,Equipment & Supplies>Material Handling>Utility Carts,Utility Carts,Found,http://www.astrotools.com/index.php/heavy-duty-plastic-2-shelf-utility-cart-black-color.html,,http://www.astrotools.com/pdf_info/8330.pdf,1,,,,,,,8330,,Astro Pneumatic®,745227001194,Two Shelf Utility Cart,Product Width,16,Inch,Contents,Two Handle,,Product Material,Plastic,,Product Length,30,Inch,Color Family,Black,,Product Height,31,Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vignesh A,Completed
008952020,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,"http://www.prevostusa.com/REGULAR-QUICK-COUPLING-HIGH-FLOW-INTERCHANGE-/Tapered-female-thread-coupler,us,c-c351-epc1000003.html",,,,,,,,,,ERC 071201,,PREVOST,,Regular Quick Coupler,Product Width,,,Connector Type,1/4 Inch NPT Female,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,,,CFM @ PSI,35,SCFM,Capacity Volume,2.8,Ounce,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,71.5,mm,Pressure Washer Nozzle Size,,,Color Family,Blue (Body)/Green (Button),,Product Height,,,Maximum Temperature Rating,+158,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Air for Spray Painting,,Thickness,,,Product Diameter,28,mm,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),174,PSI,,,,,,,Vaishali S,Completed
008952210,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,"http://www.prevostusa.com/REGULAR-QUICK-COUPLING-1-4-AUTOMOTIVE-INTERCHANGE/Tapered-female-thread-coupler,us,c-c1062-epc1000003.html",,,,,,,,,,URC 061201,,PREVOST,,Regular Coupler,Product Width,,,Connector Type,1/4 Inch NPT,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,1.75,Ounce,CFM @ PSI,30.3,SCFM,Capacity Volume,,,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,,,Pressure Washer Nozzle Size,,,Color Family,Blue (Body)/Red (Button),,Product Height,,,Maximum Temperature Rating,+158,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Air for Spray Painting,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),175,PSI,,,,,,,Vaishali S,Completed
008952236,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,"http://www.prevostusa.com/REGULAR-QUICK-COUPLING-1-4-AUTOMOTIVE-INTERCHANGE/Tapered-male-thread-coupler,us,c-c1063-epc1000003.html",,,,,,,,,,URC 061251,,PREVOST,,Regular Coupler,Product Width,,,Connector Type,1/4 Inch NPT,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,1.75,Ounce,CFM @ PSI,30.3,SCFM,Capacity Volume,,,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,,,Pressure Washer Nozzle Size,,,Color Family,Blue (Body)/Red (Button),,Product Height,,,Maximum Temperature Rating,+158,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Air for Spray Painting,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),175,PSI,,,,,,,Vaishali S,Completed
009270711,Equipment & Supplies>Work Tools>Power Tools>Dent Removal Machines & Accessories,Dent Removal Machines & Accessories,Found,http://www.dentfix.com/#!shop-1/mw12b/!/The-Maxi-110v/p/65881327,,,,,,,,,,505/110,,DENT FIX EQUIPMENT,,Maxi Dent Removal System,Product Width,10,Inch,Product Weight,67.5,Lb,Contents,"Two Light Pulling Rods;Two Slide Hammer Rods With Strike Weight;Stud Pin Electrode;Shrinking Electrode;Wiggle Wire Weld Tip;Nine and Four Finger ""Bear Claw"";50 Stud Weld Pins;1 Pound of Wiggle Wire;21 Feet of Power Cable;Nine Feet of Welding Cable",,Drive Type,Electrical,,Product Length,20,Inch,Product Height,14,Inch,Accessory Type,Multiple Pull Dent Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seenivasan K,Completed
009474636,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,,,http://www.graco.com/content/dam/graco/tech_documents/manuals/3A1/3A1698/3A1698EN-H.pdf,21,,,,,,,24J421,,GRACO®,633955136298,Bare Sprayer,Product Width,5.5,Inch,Connector Type,,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,5.06,Lb,CFM @ PSI,,,Capacity Volume,,,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,13.75,Inch,Pressure Washer Nozzle Size,,,Color Family,,,Product Height,9.7,Inch,Maximum Temperature Rating,+90,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Portable Spray Applications of Architectural Paints and Coatings,,Thickness,,,Product Diameter,,,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),1700,PSI,,,,,,,Vaishali S,Completed
009800731,"Equipment & Supplies>Concrete Skins, Paint Stencils & Shields>Paint Shields",Paint Shields,Found,http://www.warnertool.com/searchresult.php?sch=10050&x=0&y=0,,http://www.warnertool.com/Catalog%5C2013WMCCatalog.pdf?GSBYPASS=1929F72C1CFED82045E72E05AE97FE38&N=a5QSiQ&M=application/pdf&D=,19,,,,,,,10050,,WARNER® TOOL PRODUCTS,048661100509,Spray Shield with Adjustable Handle,Pack Size,5,per Pack,Handle Material,Wood,,Paint Sheild Width,36,Inch,Paint Sheild Length,18,Inch,Blade Material,Aluminum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhuganeshwaran M,Completed
100115161,"Equipment & Supplies>Ladders, Scaffolds, Lifts & Stilts>Scaffolding",Scaffolding,Found,,,,,,,,https://www.grainger.com/product/38HT67??cm_mmc=PJX-_-Material%20Handling-_-41543-_-productfeed,,http://www.lowes.com/pd/Metaltech-4-ft-x-41-in-x-22-5-in-Steel-Work-Platform/3915158,778300100200,,CORE DIST INC,778300100200,Scaffold,Scaffold Width,22-1/4,Inch,Platform Width,21-1/2,Inch,Scaffolding Material,Steel/Plastic,,Platform Length,39,Inch,Scaffold Length,3-1/4,Feet,Load Capacity,500,Lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nandhakumar N,Completed
100144179,Equipment & Supplies>Pressure Washers & Rotary Cleaners>Pressure Washers,Pressure Washers,Found,http://www.graco.com/us/en/products/contractor/g-force-ii-2525-dd.html,,http://www.graco.com/content/dam/graco/tech_documents/manuals/333/333031/333031EN-F.pdf,"2,31",http://www.graco.com/content/dam/graco/ced/literature/brochures/300573/300573EN-K.pdf,2,,,,,24U626,G-FORCE™,GRACO®,633955675872,Pressure Washer,Fuel Tank Capacity,1.82,Quart,Product Weight,58,Lb,Cleaning Units (cu's) (PSI x GPM),2500 PSI x 2.5 GPM,,Detergent Tank,Yes,,Hours Per Week,2 to 10,Hour/Week,Drive Type,Direct,,Gallons Per Minute,2.5,Gallon/Min,Maximum Fluid Pressure (PSI),2500,PSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhuganeshwaran M,Completed
100144187,Equipment & Supplies>Pressure Washers & Rotary Cleaners>Pressure Washers,Pressure Washers,Found,http://www.graco.com/us/en/products/contractor/g-force-ii-2532-dd.html,,http://www.graco.com/content/dam/graco/tech_documents/manuals/333/333031/333031EN-F.pdf,"2,31",http://www.graco.com/content/dam/graco/ced/literature/brochures/300573/300573EN-K.pdf,2,,,,,24U619,G-FORCE™,GRACO®,633955675889,Pressure Washer,Fuel Tank Capacity,3.8,Quart,Product Weight,67,Lb,Cleaning Units (cu's) (PSI x GPM),3200 PSI x 2.5 GPM,,Detergent Tank,Yes,,Hours Per Week,2 to 10,Hour/Week,Drive Type,Direct,,Gallons Per Minute,2.5,Gallon/Min,Maximum Fluid Pressure (PSI),3200,PSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhuganeshwaran M,Completed
100144195,Equipment & Supplies>Pressure Washers & Rotary Cleaners>Pressure Washers,Pressure Washers,Found,http://www.graco.com/us/en/products/contractor/g-force-ii-3027-dd.html,,http://www.graco.com/content/dam/graco/tech_documents/manuals/333/333031/333031EN-F.pdf,"2,32",http://www.graco.com/content/dam/graco/ced/literature/brochures/300573/300573EN-K.pdf,2,,,,,24U620,G-FORCE™,GRACO®,633955675896,Pressure Washer,Fuel Tank Capacity,3.8,Quart,Product Weight,82,Lb,Cleaning Units (cu's) (PSI x GPM),2700 PSI x 3.0 GPM,,Detergent Tank,Yes,,Hours Per Week,2 to 10,Hour/Week,Drive Type,Direct,,Gallons Per Minute,3.0,Gallon/Min,Maximum Fluid Pressure (PSI),2700,PSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhuganeshwaran M,Completed
100144203,Equipment & Supplies>Pressure Washers & Rotary Cleaners>Pressure Washers,Pressure Washers,Found,http://www.graco.com/us/en/products/contractor/g-force-ii-3032-dd.html,,http://www.graco.com/content/dam/graco/tech_documents/manuals/333/333031/333031EN-F.pdf,"2,32",http://www.graco.com/content/dam/graco/ced/literature/brochures/300573/300573EN-K.pdf,2,,,,,24U621,G-FORCE™,GRACO®,633955675902,Pressure Washer,Fuel Tank Capacity,6.2,Quart,Product Weight,113,Lb,Cleaning Units (cu's) (PSI x GPM),3200 PSI x 3.0 GPM,,Detergent Tank,Yes,,Hours Per Week,10 to 20,Hour/Week,Drive Type,Direct,,Gallons Per Minute,3.0,Gallon/Min,Maximum Fluid Pressure (PSI),3200,PSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhuganeshwaran M,Completed
100144211,Equipment & Supplies>Pressure Washers & Rotary Cleaners>Pressure Washers,Pressure Washers,Found,http://www.graco.com/us/en/products/contractor/g-force-ii-4040-dd.html,,http://www.graco.com/content/dam/graco/tech_documents/manuals/333/333031/333031EN-F.pdf,"2,33",http://www.graco.com/content/dam/graco/ced/literature/brochures/300573/300573EN-K.pdf,2,,,,,24U622,G-FORCE™,GRACO®,633955675919,Pressure Washer,Fuel Tank Capacity,6.9,Quart,Product Weight,129,Lb,Cleaning Units (cu's) (PSI x GPM),4000 PSI x 4.0 GPM,,Detergent Tank,Yes,,Hours Per Week,10 to 20,Hour/Week,Drive Type,Direct,,Gallons Per Minute,4.0,Gallon/Min,Maximum Fluid Pressure (PSI),4000,PSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhuganeshwaran M,Completed
100383256,Equipment & Supplies>Batteries & Extension Cords>Batteries & Battery Chargers>Batteries,Batteries,Found,http://thepowerall.com/index.php?route=product/product&product_id=93&search=PBJS12000-R,,,,,,,,,,PBJS12000-R,POWER ALL,GRYPHIN,752423791811,Powerall Battery,Connector Type,USB Port,,Product Weight,6.6,Lb,Contents,Heavy Duty Carrying Case;Professional Grade Smart 2.0 Jumper Cable,,Voltage Output,5;12,V,Color Family,Red/Black,,Max. Amps,12000,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhuganeshwaran M,Completed
650851256,Equipment & Supplies>Material Handling>Utility Carts,Utility Carts,Found,https://www.sevilleclassics.com/ultrahd-stainless-steel-storage-cabinet-UHD16236B,,,,,,,,,,UHD16236,UltraGuard™,SEVILLE® CLASSICS,017641162363,Storage Cabinet Shelf,Product Width,36,Inch,Contents,(4) Shelves;Magnetic Screwdriver;(4) 5 Inch Wheels (2) Wheels with Brakes,,Product Material,Stainless Steel (Door);Steel (Frame),,Product Length,18,Inch,Color Family,White,,Product Height,72,Inch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vignesh A,Completed
650904550,"Equipment & Supplies>Spray Equipment, Curing Ovens & Accessories>Sprayer Replacement Parts & Accessories>Sprayer Pneumatic & Mechanical Parts>zzSprayerNoHome",zzSprayerNoHome,Found,"http://www.prevostusa.com/REGULAR-QUICK-COUPLING-HIGH-FLOW-INTERCHANGE-/Tapered-female-thread-coupler,us,c-c351-epc1000003.html",,,,,,,,,,ERC 071201,,PREVOST,760058234450,Regular Quick Coupler,Product Width,,,Connector Type,1/4 Inch NPT Female,,Product Depth,,,Compatible Sprayer Type,,,Product Weight,,,CFM @ PSI,35,SCFM,Capacity Volume,2.8,Ounce,Sprayer Tip Size,,,Contents,,,Product Material,,,Capacity Weight,,,Pack Size,1,Each,Product Length,71.5,mm,Pressure Washer Nozzle Size,,,Color Family,Blue (Body)/Green (Button),,Product Height,,,Maximum Temperature Rating,+158,°F,Compatible Container Size,,,Handle Diameter,,,Pressure Washer Nozzle Degree,,,Handle Length,,,Recommended Uses,Air for Spray Painting,,Thickness,,,Product Diameter,28,mm,Compatible Materials,,,Number Of Guns,,,Handle Style,,,Maximum Fluid Pressure (PSI),174,PSI,,,,,,,Vaishali S,Completed
